State,Region,Uses (Permitted and Conditional),Required Spaces
IL,Waukegan,Photography studio,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Physical culture and health services,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Picture framing,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Post office,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Printing shops,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Radio and television sales and service,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,"Repair, rental and servicing of any item, the retail sale of which is permitted in  the B1, B2 and B3 districts","5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Rummage shop,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Sales and service,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Second hand sales,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Sewing machine sales and service,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Shopping centers,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Sorority house,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Sporting goods store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Tobacco store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Toy store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Variety store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Wearing apparel store,"5/1,000 sq. ft. of gross floor area"
IL,Waukegan,Community center,"1.0/1,000 sq. ft. of gross floor area, plus 1.0 space for each 3 persons of auditorium  design capacity"
IL,Waukegan,Convention hall,"1.0/1,000 sq. ft. of gross floor area, plus 1.0 space for each 3 persons of auditorium  design capacity"
IL,Waukegan,Exhibition hall,"1.0/1,000 sq. ft. of gross floor area, plus 1.0 space for each 3 persons of auditorium  design capacity"
IL,Waukegan,Meeting hall,"1.0/1,000 sq. ft. of gross floor area, plus 1.0 space for each 3 persons of auditorium  design capacity"
IL,Waukegan,Recreation building,"1.0/1,000 sq. ft. of gross floor area, plus 1.0 space for each 3 persons of auditorium  design capacity"
IL,Waukegan,Auction room,"10.0/1,000 sq. ft. of gross floor area, or 1.0/3.0 persons of design capacity in persons,  whichever is greater"
IL,Waukegan,"Club or lodge, private","10.0/1,000 sq. ft. of gross floor area, or 1.0/3.0 persons of design capacity in persons,  whichever is greater"
IL,Waukegan,Night club,"10.0/1,000 sq. ft. of gross floor area, or 1.0/3.0 persons of design capacity in persons,  whichever is greater"
IL,Waukegan,Dance hall,"10.0/1,000 sq. ft. of gross floor area, or 1.0/3.0 persons of design capacity in persons,  whichever is greater"
IL,Waukegan,Skating rinks,"10.0/1,000 sq. ft. of gross floor area, or 1.0/3.0 persons of design capacity in persons,  whichever is greater"
IL,Waukegan,"Restaurants: Carry-out, drive-thru type",1.0/3 seats of design capacity. Establishments with a drive-thru window shall provide  a minimum of 5 stacking spaces per window
IL,Waukegan,Restaurants: Family dining type,1.0/3 seats of design capacity. Establishments with a drive-thru window shall provide  a minimum of 5 stacking spaces per window
IL,Waukegan,Taverns,1.0/3 seats of design capacity. Establishments with a drive-thru window shall provide  a minimum of 5 stacking spaces per window
IL,Waukegan,Restaurants: Drive-in type,"15.0/1,000 sq. ft. of gross floor area"
IL,Waukegan,Drivers license facilities,"30.0/1,000 sq. ft. of gross floor area"
